CCAA,Sexo,Tipo_Centro,Total,Usuario_Experto_Pct,Usuario_Avanzado_Pct,Usuario_Basico_Pct,No_Usuario_Pct,No_Consta_Pct,Usuario_Alto_Pct,Brecha_Digital_Pct,Calidad_TIC,Nivel_TIC
Andalucía,Total,Total,0.0,15.293677282510371,57.127483701924575,27.181134782744316,0.25577840855921896,0.14348544870395208,72.42116098443495,27.436913191303535,Alta,Bajo
Aragón,Total,Total,0.0,14.822111484528914,63.58790126318229,20.30362730327964,0.0,1.2747711206397034,78.4100127477112,20.30362730327964,Alta,Bajo
"Asturias, Principado de",Total,Total,0.0,16.672005124919924,61.370916079436256,21.60474055092889,0.3523382447149263,0.0,78.04292120435618,21.957078795643817,Alta,Bajo
"Balears, Illes",Total,Total,0.0,14.783335655566393,62.83962658492406,21.833635223631045,0.0,0.5434025358785007,77.62296224049045,21.833635223631045,Alta,Bajo
Canarias,Total,Total,0.0,13.354479544277577,59.703521491455206,26.935525634386327,0.0,0.0,73.05800103573279,26.935525634386327,Baja,Bajo
Cantabria,Total,Total,0.0,15.744570837642192,0.05170630816959669,21.328852119958636,0.25853154084798347,0.25853154084798347,15.796277145811787,21.58738366080662,Alta,Bajo
Castilla - La Mancha,Total,Total,0.0,20.457730032695004,55.89510909454861,21.678788283178754,0.37365716954694067,1.5947154200306932,76.35283912724361,22.052445452725696,Alta,Medio
Castilla y León,Total,Total,0.0,16.267557700637337,64.87841098941897,18.63127281727616,0.22275849266753295,0.0,81.1459686900563,18.854031309943693,Alta,Bajo
Cataluña,Total,Total,0.0,20.12207198285951,64.39027025080571,14.778271907239697,0.45011793089789526,0.25926792819718764,84.51234223366522,15.228389838137591,Alta,Medio
Ceuta,Total,Total,0.0,16.4576802507837,56.1128526645768,27.429467084639498,0.0,0.0,72.5705329153605,27.429467084639498,Alta,Bajo
Comunitat Valenciana,Total,Total,0.0,14.071914480077746,63.624878522837705,21.65532879818594,0.0,0.6478781988986071,77.69679300291546,21.65532879818594,Baja,Bajo
Extremadura,Total,Total,0.0,13.497513615912858,61.99384323940327,24.366564053990054,0.14207909069381955,0.0,75.49135685531613,24.508643144683873,Baja,Bajo
Galicia,Total,Total,0.0,17.26081097635673,61.251990689697415,21.138061987014577,0.0,0.34913634693127527,78.51280166605414,21.138061987014577,Alta,Bajo
"Madrid, Comunidad de",Total,Total,0.0,17.673976478910603,63.34114422141657,18.56264921743744,0.0,0.42223008223538777,81.01512070032717,18.56264921743744,Alta,Bajo
Melilla,Total,Total,0.0,17.77777777777778,51.52777777777778,28.194444444444443,0.0008333333333333334,0.0018055555555555555,69.30555555555556,28.195277777777775,Alta,Bajo
"Murcia, Región de",Total,Total,0.0,15.920096852300242,66.18817018332757,17.407471463161535,0.48426150121065376,0.0,82.10826703562782,17.89173296437219,Alta,Bajo
"Navarra, Comunidad Foral de",Total,Total,0.0,12.16378964271377,0.060216780409474105,18.62705740666399,0.3010839020473705,0.6222400642312325,12.224006423123244,18.92814130871136,Baja,Bajo
País Vasco,Total,Total,0.0,14.268415741675076,70.5213588967373,14.927682475613858,0.0,0.2892700975445678,84.78977463841237,14.927682475613858,Baja,Bajo
"Rioja, La",Total,Total,0.0,18.606870229007633,0.04770992366412214,24.09351145038168,0.0,0.33396946564885494,18.654580152671755,24.09351145038168,Alta,Bajo
