CCAA,Usuario_Experto_Pct
Castilla - La Mancha,20.457730032695004
Cataluña,20.12207198285951
"Rioja, La",18.606870229007633
Melilla,17.77777777777778
"Madrid, Comunidad de",17.673976478910603
Galicia,17.26081097635673
"Asturias, Principado de",16.672005124919924
Ceuta,16.4576802507837
Castilla y León,16.267557700637337
"Murcia, Región de",15.920096852300242
Cantabria,15.744570837642192
Andalucía,15.293677282510371
Aragón,14.822111484528914
"Balears, Illes",14.783335655566393
País Vasco,14.268415741675076
Comunitat Valenciana,14.071914480077746
Extremadura,13.497513615912858
Canarias,13.354479544277577
"Navarra, Comunidad Foral de",12.16378964271377
